name	x	y	z	size	group	hemisphere	impedance
C01	-42.091	-12.095	84.055	0.000	C	L	0.000
C02	-38.091	-2.095	78.055	0.000	C	L	0.000
C03	-35.091	1.905	78.055	0.000	C	L	0.000
C04	-35.091	12.905	76.055	0.000	C	L	0.000
C05	-37.091	24.905	78.055	0.000	C	L	0.000
C06	-34.091	33.905	73.055	0.000	C	L	0.000
C07	-31.091	41.905	67.055	0.000	C	L	0.000
C08	-28.091	49.905	63.055	0.000	C	L	0.000
C09	-33.091	-14.095	88.055	0.000	C	L	0.000
C10	-31.091	-5.095	86.055	0.000	C	L	0.000
C11	-28.091	3.905	83.055	0.000	C	L	0.000
C12	-28.091	13.905	84.055	0.000	C	L	0.000
C13	-27.091	23.905	82.055	0.000	C	L	0.000
C14	-24.091	32.905	76.055	0.000	C	L	0.000
C15	-22.091	41.905	73.055	0.000	C	L	0.000
C16	-19.091	50.905	68.055	0.000	C	L	0.000
C17	-24.091	-14.095	92.055	0.000	C	L	0.000
C18	-23.091	-6.095	92.055	0.000	C	L	0.000
C19	-20.091	3.905	88.055	0.000	C	L	0.000
C20	-17.091	13.905	87.055	0.000	C	L	0.000
C21	-16.091	22.905	82.055	0.000	C	L	0.000
C22	-14.091	29.905	77.055	0.000	C	L	0.000
C23	-12.091	39.905	74.055	0.000	C	L	0.000
C24	-10.091	48.905	70.055	0.000	C	L	0.000
C25	-14.091	-15.095	94.055	0.000	C	L	0.000
C26	-12.091	-7.095	94.055	0.000	C	L	0.000
C27	-11.091	2.905	94.055	0.000	C	L	0.000
C28	-10.091	12.905	91.055	0.000	C	L	0.000
C29	-8.091	22.905	88.055	0.000	C	L	0.000
C30	-5.091	30.905	82.055	0.000	C	L	0.000
C31	-3.091	39.905	78.055	0.000	C	L	0.000
C32	-1.091	49.905	75.055	0.000	C	L	0.000
FL01	-28.091	62.905	44.055	0.000	FL	L	0.000
FL02	-33.091	57.905	51.055	0.000	FL	L	0.000
FL03	-37.091	48.905	54.055	0.000	FL	L	0.000
FL04	-39.091	39.905	59.055	0.000	FL	L	0.000
FL05	-42.091	30.905	63.055	0.000	FL	L	0.000
FL06	-44.091	22.905	67.055	0.000	FL	L	0.000
FL07	-44.091	11.905	71.055	0.000	FL	L	0.000
FL08	-45.091	2.905	72.055	0.000	FL	L	0.000
FL09	-33.091	62.905	37.055	0.000	FL	L	0.000
FL10	-38.091	54.905	41.055	0.000	FL	L	0.000
FL11	-42.091	46.905	46.055	0.000	FL	L	0.000
FL12	-44.091	37.905	50.055	0.000	FL	L	0.000
FL13	-48.091	28.905	54.055	0.000	FL	L	0.000
